modality_image,image,latitude,longitude,height,alfa,beta,gamma,fov
0000025, eth_ch1_2011-10-04_15:12:05_01024, 46.6207, 8.57135, 1457.000000, -0.5593, 0.276914, 0.0382478, 0.936687
0000026, eth_ch1_2011-10-04_15:13:14_01024, 46.6171, 8.5625, 1496.500000, -0.112205, 0.397713, 0.00162525, 0.938128
0000027, eth_ch1_2011-10-04_15:15:40_01024, 46.603, 8.565, 1651.500000, 1.64059, 0.306031, 0.122716, 0.939313
0000028, eth_ch1_2011-10-04_15:19:34_01024, 46.5802, 8.55879, 1916.000000, 1.72219, 0.198814, 0.0535439, 0.886694
0000029, eth_ch1_2011-10-04_15:20:30_01024, 46.5702, 8.5607, 2010.000000, 0.229004, 0.139799, -0.0162141, 0.913718
0000030, eth_ch1_2011-10-04_15:20:38_01024, 46.5677, 8.56023, 2030.000000, -0.107912, 0.212604, -0.0508488, 0.862349
0000031, eth_ch1_2011-10-04_15:22:47_01024, 46.555, 8.56614, 2086.500000, 2.61415, 0.155957, -0.0234726, 0.962158
0000032, eth_ch1_2011-10-04_15:28:13_01024, 46.5564, 8.56667, 2090.500000, 0.309828, 0.139065, -0.00514214, 0.960355
0000033, eth_ch1_2011-10-04_15:46:39_01024, 46.536, 8.571, 1939.000000, 2.08085, 0.0820679, 0.0736334, 0.939313
0000034, eth_ch1_2011-10-04_15:48:56_01024, 46.5266, 8.5563, 1778.000000, 2.25522, 0.212901, 0.0639711, 0.92083
0000035, eth_ch1_2011-10-04_15:50:30_01024, 46.5311, 8.57945, 1594.000000, -2.49823, 0.261969, 0.0625999, 0.985167
0000036, eth_ch1_2011-10-04_15:52:38_01024, 46.5341, 8.5855, 1537.000000, 1.36141, 0.269212, 7.35656e-07, 0.939313
0000037, eth_ch1_2011-10-04_16:03:27_01024, 46.5029, 8.72227, 973.000000, 2.41822, 0.201663, 0.0210769, 0.924469
0000038, eth_ch1_2011-10-04_16:13:26_01024, 46.398, 8.8725, 401.500000, 2.70671, 0.154164, -0.0613615, 0.939313
0000039, eth_ch1_2011-10-04_16:20:03_01024, 46.317, 8.9805, 265.000000, 1.31818, 0.267993, 0.105243, 0.91491
0000040, eth_ch1_2011-10-04_16:21:36_01024, 46.2919, 8.9902, 257.000000, 1.96426, 0.129621, 0.0490848, 0.939313
0000041, eth_ch1_2011-10-06_11:24:33_01024, 46.26, 8.8365, 537.500000, 0.64491, 0.555669, 0.0274565, 0.918295
0000042, eth_ch1_2011-10-06_14:41:52_01024, 46.169, 8.8785, 196.500000, -2.27412, 0.299893, 0.0368135, 0.939313
0000043, eth_ch1_2011-10-06_14:42:18_01024, 46.1682, 8.88179, 197.500000, -2.42879, 0.362702, -0.0205066, 0.922501
0000044, eth_ch1_2011-10-06_14:43:20_01024, 46.1644, 8.88581, 196.500000, 2.00108, 0.215525, 0.0122715, 0.939313
0000045, eth_ch1_2011-10-06_15:11:17_01024, 46.162, 8.991, 217.500000, 2.67449, 0.345911, 0.0122711, 0.939313
0000046, eth_ch1_2011-10-07_10:26:24_01024, 46.013, 8.916, 283.500000, -2.09176, 0.247829, 0.00614837, 0.930617
0000047, eth_ch1_2011-10-07_10:52:05_01024, 46.373, 8.9205, 310.500000, 0.237, 0.330574, -0.0245417, 0.939313
0000048, eth_ch1_2011-10-07_11:01:09_01024, 46.4735, 8.8058, 698.500000, -0.281486, 0.194049, 0.0490842, 0.939313
0000049, eth_ch1_2011-10-07_11:37:54_01024, 46.828, 8.63999, 462.500000, -2.63709, 0.470084, 0.0762196, 0.939593
0000050, eth_ch1_2011-10-07_11:56:32_01024, 47.017, 8.6265, 446.000000, -2.87084, 0.190981, 0.012271, 0.939313
0000051, eth_ch1_2012-02-18_18:32:18_01024, 46.6359, 7.989, 904.000000, 0.137291, 0.172573, -0.0122711, 0.92263
0000052, eth_ch1_20663115_01024, 46.3793, 7.70649, 2627.500000, -2.53722, 0.0459743, -0.00969746, 0.872708
0000053, eth_ch1_24945353_01024, 46.0726, 7.44868, 3306.000000, 1.36294, 0.00383496, 0.0368121, 1.00109
0000054, eth_ch1_39298990_01024, 46.5713, 8.33111, 1933.000000, 0.226261, 0.054456, 0.0122709, 0.394791
0000055, eth_ch1_45814775_01024, 46.4952, 7.54185, 1926.000000, 1.79768, -0.143551, 0.00398639, 1.06063
0000056, eth_ch1_48605067_01024, 46.0255, 7.7561, 1660.500000, 0.497815, 0.0516077, 0.016215, 1.1506
0000057, eth_ch1_60648419_01024, 46.4894, 7.62461, 2320.000000, 3.1102, -0.0755298, 0.0170437, 0.796052
0000058, eth_ch1_chur_DSC02394_01024, 46.8544, 9.53466, 584.500000, -2.83222, 0.345314, -0.0309808, 0.318764
0000059, eth_ch1_corvatschDSC00564_01024, 46.4175, 9.82419, 3250.500000, 2.64232, -0.0596872, -0.0267093, 0.923485
0000060, eth_ch1__dsc0011_01024, 46.9313, 7.45945, 521.000000, 2.1561, 0.0384639, -0.00732988, 0.292455
0000061, eth_ch1__dsc0013_01024, 46.9432, 7.4426, 514.500000, 2.14881, 0.0113208, 0.00772112, 0.418358
0000062, eth_ch1__dsc0022_01024, 46.885, 7.4775, 824.000000, 2.40605, 0.0329801, 0.0122715, 0.339556
0000063, eth_ch1__dsc0024_01024, 46.913, 7.452, 807.000000, 2.43519, 0.031447, 0.0245427, 0.265103
0000064, eth_ch1__dsc0027_01024, 46.893, 7.4625, 879.500000, 2.4433, 0.0233056, 0.0226367, 0.252148
0000065, eth_ch1__dsc0028_01024, 46.895, 7.449, 861.500000, 2.2189, 0.0222418, 0.0122719, 0.252176
0000066, eth_ch1__dsc0030_01024, 46.89, 7.47599, 830.000000, 2.55024, 0.0161068, 0.0245426, 0.422187
0000067, eth_ch1__dsc0034_01024, 46.919, 7.4475, 795.500000, 2.44593, 0.0237753, 0.0245428, 0.252176
0000068, eth_ch1__dsc0035_01024, 46.922, 7.45949, 574.500000, 2.28026, 0.0467873, -0.0245415, 0.252176
0000069, eth_ch1__dsc0037_01024, 46.899, 7.47, 825.000000, 2.60086, 0.00383564, 0.0245427, 0.471091
0000070, eth_ch1__dsc0051_01024, 46.889, 7.47, 850.500000, 2.39531, 0.0268446, 0.0122716, 0.432171
0000071, eth_ch1__dsc0071_01024, 46.914, 7.452, 820.500000, 2.49349, 0.0222423, -0.0245416, 0.29778
0000072, eth_ch1__dsc0074_01024, 46.912, 7.45199, 768.500000, 2.30634, 0.0314472, 5.14246e-07, 0.184094
0000073, eth_ch1_dsc02493_01024, 46.558, 7.8375, 2840.000000, -2.9276, 0.0345135, 4.7214e-08, 1.17601
0000074, eth_ch1_dsc02494_01024, 46.558, 7.8375, 2840.000000, -2.94141, -0.236998, 0.0490844, 1.17601
0000075, eth_ch1_dsc02497_01024, 46.559, 7.8375, 2782.000000, 2.9951, 0.144962, 5.14289e-09, 1.17601
0000076, eth_ch1_dsc02498_01024, 46.558, 7.839, 2772.500000, 3.01197, -0.106613, 0.0368133, 1.17601
0000077, eth_ch1_dsc02502_01024, 46.557, 7.8375, 2888.500000, 2.86625, 0.0743991, -0.0122708, 1.17601
0000078, eth_ch1_dsc02503_01024, 46.557, 7.8375, 2888.500000, 2.87545, -0.155701, 0.0122714, 1.17601
0000079, eth_ch1_dsc02509_01024, 46.5572, 7.8352, 2951.000000, 2.1569, -0.177001, -0.0195277, 1.15574
0000080, eth_ch1_dsc02510_01024, 46.5572, 7.8352, 2951.000000, 2.10386, 0.134225, -0.036813, 1.17601
0000081, eth_ch1_dsc02511_01024, 46.5572, 7.8352, 2951.000000, 1.59151, 0.180242, -0.0122694, 1.17601
0000082, eth_ch1_dsc02512_01024, 46.5572, 7.8352, 2951.000000, 1.58511, -0.0837443, 0.0100342, 1.1443
0000083, eth_ch1_dsc02513_01024, 46.5572, 7.8352, 2951.000000, 1.57614, -0.283023, 0.0245333, 1.17601
0000084, eth_ch1_dsc02516_01024, 46.5572, 7.8352, 2951.000000, 1.73723, 0.163369, -0.0122711, 1.17601
0000085, eth_ch1_dsc02517_01024, 46.557, 7.836, 2936.000000, 1.7265, -0.0728633, 0.0122742, 1.17601
0000086, eth_ch1_dsc02518_01024, 46.5572, 7.8352, 2951.000000, 1.73877, -0.2416, 0.0122731, 1.17601
0000087, eth_ch1_dsc02523_01024, 46.5572, 7.8352, 2951.000000, 1.06842, -0.218592, -0.0368131, 1.17601
0000088, eth_ch1_dsc02527_01024, 46.5572, 7.8352, 2951.000000, 1.19267, 0.0391159, -0.0122711, 1.17601
0000089, eth_ch1_dsc02528_01024, 46.5572, 7.8352, 2951.000000, 1.16659, -0.00536932, -0.0245423, 1.17601
0000090, eth_ch1_dsc02529_01024, 46.5572, 7.8352, 2951.000000, 1.11385, -0.229317, -0.00176165, 1.14258
0000091, eth_ch1_dsc02538_01024, 46.5572, 7.8352, 2951.000000, 1.61145, 0.0805343, -0.0122726, 1.17601
0000092, eth_ch1_dsc02539_01024, 46.5572, 7.8352, 2951.000000, 1.61757, -0.0989424, -0.0122792, 1.17601
0000093, eth_ch1_dsc02545_01024, 46.5572, 7.8352, 2951.000000, 1.01066, -0.105198, -0.0179495, 1.13779
0000094, eth_ch1_dsc02546_01024, 46.5572, 7.8352, 2951.000000, 0.689192, -0.10783, 0.00304467, 1.14663
0000095, eth_ch1_dsc02604_01024, 46.558, 7.8375, 2840.000000, -3.10401, -0.233932, 0.0736329, 1.17601
0000096, eth_ch1_dsc02605_01024, 46.558, 7.839, 2772.500000, 3.0043, -0.0467876, 0.0490844, 1.17601
0000097, eth_ch1_dsc02606_01024, 46.5572, 7.8352, 2951.000000, 2.77881, 0.0145741, 0.0613619, 1.17601
0000098, eth_ch1_dsc02607_01024, 46.5572, 7.8352, 2951.000000, 2.6756, 0.160011, 0.0272416, 1.14998
0000099, eth_ch1_dsc02608_01024, 46.558, 7.839, 2772.500000, 3.03651, 0.102011, 0.0122711, 1.17601
0000100, eth_ch1_dsc02715_01024, 46.983, 8.61145, 434.500000, 1.25947, 0.124763, -0.0214712, 0.255643
0000101, eth_ch1_dsc02716_01024, 46.986, 8.61, 433.000000, 2.44502, 0.49619, -0.0672165, 0.20777
0000102, eth_ch1_dsc02717_01024, 46.985, 8.607, 433.000000, -0.629701, 0.246204, 0.012272, 0.761013
0000103, eth_ch1_dsc02718_01024, 46.986, 8.61, 433.000000, -0.519708, 0.254733, 0.0128742, 1.16122
0000104, eth_ch1_dsc02719_01024, 46.922, 8.6175, 433.000000, -0.224731, 0.298359, 0.0368136, 0.582913
0000105, eth_ch1_dsc02720_01024, 46.919, 8.622, 436.500000, -0.0130866, 0.301403, 0.000546536, 0.752811
0000106, eth_ch1_dsc02728_01024, 46.817, 8.643, 482.500000, 2.88619, 0.37199, 0.01227, 0.471091
0000107, eth_ch1_dsc02729_01024, 46.817, 8.646, 473.000000, 2.94754, 0.439486, -0.0122715, 0.809782
0000108, eth_ch1_dsc02737_01024, 46.737, 8.63399, 711.000000, 0.825301, 0.215916, 0.00191043, 0.493446
0000109, eth_ch1_dsc02754_01024, 46.5561, 8.5661, 2090.500000, 0.427829, -0.0636392, -0.0271352, 1.21346
0000110, eth_ch1_dsc02806_01024, 46.5108, 8.70885, 999.000000, -1.3337, 0.438915, 0.0405758, 0.691947
0000111, eth_ch1_dsc02809_01024, 46.5307, 8.58515, 1456.000000, 1.79763, 0.283759, 0.0306237, 0.586645
0000112, eth_ch1_dsc02812_01024, 46.533, 8.5995, 1350.500000, 0.488156, 0.0752247, 0.00637806, 0.231567
0000113, eth_ch1_dsc02828_01024, 46.363, 8.937, 298.000000, 2.64995, 0.325971, -0.0368134, 0.761013
0000114, eth_ch1_dsc02830_01024, 46.363, 8.94, 297.500000, 3.05544, 0.470436, -0.0310428, 1.13806
0000115, eth_ch1_dsc02833_01024, 46.239, 9.021, 244.500000, 2.47311, 0.244992, -0.0103463, 0.61505
0000116, eth_ch1_dsc02834_01024, 46.24, 9.021, 244.000000, 2.4444, 0.152631, 0.0122719, 0.582913
0000117, eth_ch1_dsc03102_01024, 46.033, 8.928, 298.500000, -2.09312, 0.129622, -0.0122713, 0.471091
0000118, eth_ch1_dsc03118_01024, 46.205, 9.01949, 229.000000, -2.62694, 0.149562, -0.0736329, 0.927295
0000119, eth_ch1_dsc03119_01024, 46.2053, 9.01963, 229.500000, -2.64672, 0.116692, -0.0346969, 0.360736
0000120, eth_ch1_dsc03127_01024, 46.228, 9.036, 235.000000, -1.4151, 0.184845, 2.08546e-07, 0.471091
0000121, eth_ch1_dsc03128_01024, 46.236, 9.027, 243.500000, -0.625095, 0.223194, 0.0122713, 0.471091
0000122, eth_ch1_dsc03145_01024, 46.435, 8.8455, 635.000000, -0.636368, 0.258537, -0.0147858, 0.538457
0000123, eth_ch1_dsc05142_01024, 46.5477, 7.98061, 3476.500000, 0.679104, 0.106164, -0.0133777, 1.19751
0000124, eth_ch1_dsc05274_01024, 46.547, 7.984, 3496.500000, 1.64673, 0.0590589, -0.0122711, 1.16174
0000125, eth_ch1_dsc05325_01024, 46.5464, 7.9835, 3410.500000, 0.325079, 0.285047, -0.0464691, 0.518016
0000126, eth_ch1_DSCF3435_01024, 47.0411, 8.5193, 922.500000, -2.83099, 0.0144754, -0.0604331, 0.843246
0000127, eth_ch1_DSCF3436_01024, 47.0399, 8.51823, 1022.000000, -3.0484, -0.0262301, -0.0227765, 0.486323
0000128, eth_ch1_DSCF3440_01024, 47.0518, 8.47254, 1574.500000, 2.46674, 0.0401883, -0.0317919, 0.239428
0000129, eth_ch1_DSCF3441_01024, 47.0521, 8.47282, 1577.000000, 2.4574, 0.0333769, -0.042083, 0.844699
0000130, eth_ch1_DSCF3442_01024, 47.0549, 8.47591, 1631.500000, 1.57006, 0.0235618, -0.0637096, 0.846538
0000131, eth_ch1_DSCF3452_01024, 47.0279, 8.48165, 946.000000, 0.269214, -0.0605921, 0.0859035, 0.391892
0000132, eth_ch1_DSCF3456_01024, 47.032, 8.43301, 439.500000, 3.07476, 0.0597267, -0.0388967, 0.82154
0000133, eth_ch1_DSCF3458_01024, 47.027, 8.412, 433.000000, 0.775426, 0.0115037, 0.0245419, 0.314959
0000134, eth_ch1_IMG_1820_01024, 46.5756, 7.939, 1874.000000, 2.70305, 0.392005, -0.0678212, 0.366607
0000135, eth_ch1_IMG_1821_01024, 46.5756, 7.939, 1874.000000, 1.87771, 0.327053, -0.00528585, 0.812869
0000136, eth_ch1_IMG_1838_01024, 46.5849, 7.96149, 2061.500000, 2.57444, 0.38879, -0.0099065, 0.865646
0000137, eth_ch1_IMG_1840_01024, 46.5849, 7.96149, 2061.500000, 2.21682, 0.319672, -0.0264168, 0.866992
0000138, eth_ch1_IMG_1854_01024, 46.5838, 7.96335, 2086.000000, -2.21123, 0.0299111, -0.012271, 0.883754
0000139, eth_ch1_IMG_1855_01024, 46.5838, 7.96335, 2086.000000, 3.11475, 0.230863, 0.0490841, 0.883754
0000140, eth_ch1_IMG_1856_01024, 46.5838, 7.96335, 2086.000000, 2.38373, 0.276156, -0.026068, 0.860524
0000141, eth_ch1_img_3407_01024, 46.7197, 8.31457, 950.500000, 2.61774, 0.312164, -0.0122716, 1.11099
0000142, eth_ch1_img_3408_01024, 46.7199, 8.31608, 966.000000, 2.47118, 0.342231, -0.0387412, 1.13282
0000143, eth_ch1_IMG_4833_01024, 46.8433, 8.4136, 1977.000000, 0.709713, -0.0642214, -0.00415861, 0.963097
0000144, eth_ch1_IMG_4922_01024, 46.3204, 7.08414, 1962.500000, 1.60212, -0.0922195, -0.0200633, 0.970853
0000145, eth_ch1_IMG_4923_01024, 46.3206, 7.0851, 1973.000000, 2.13868, -0.035817, -0.0256997, 0.955098
0000146, eth_ch1_IMG_4930_01024, 46.3217, 7.08233, 1953.000000, -1.13039, -0.128032, 0.0702257, 0.941245
0000147, eth_ch1_IMG_4948_01024, 46.3325, 7.06911, 1995.500000, -2.53117, -0.0605802, 0.0357899, 0.977197
0000148, eth_ch1_IMG_4955_01024, 46.3018, 7.0716, 1493.500000, 2.35849, 0.0836005, -0.0122707, 0.994838
0000149, eth_ch1_IMG_4958_01024, 46.2973, 7.0736, 1398.500000, -3.0856, -0.120417, 2.43174e-07, 0.994838
0000150, eth_ch1_IMG_4970_01024, 46.2924, 7.0684, 1361.500000, 2.45236, -0.0546196, -0.00817392, 0.967639
0000151, eth_ch1_IMG_4972_01024, 46.2919, 7.0687, 1345.500000, 0.927375, -0.0526693, 0.00943675, 0.961673
0000152, eth_ch1_IMG_4985_01024, 46.3121, 7.0782, 1639.500000, 1.88417, -0.118946, -0.00324928, 0.95759
0000153, eth_ch1_IMG_4986_01024, 46.3121, 7.0782, 1639.500000, 2.43827, -0.102011, 0.0245429, 0.994838
0000154, eth_ch1_IMG_4999_01024, 46.308, 7.05729, 1347.500000, 1.63811, -0.0577637, -0.009137, 0.960559
0000155, eth_ch1_IMG_5004_01024, 46.309, 7.05759, 1368.500000, 1.11647, -0.126075, 0.00321974, 0.954833
0000156, eth_ch1_IMG_5008_01024, 46.3095, 7.0613, 1383.000000, 1.32573, -0.0767329, 5.94152e-05, 0.958179
0000157, eth_ch1_IMG_5011_01024, 46.3123, 7.0593, 1476.500000, 1.37886, -0.0763009, -0.0196378, 0.956618
0000158, eth_ch1_IMG_5021_01024, 46.3212, 7.06434, 1902.000000, 1.17917, -0.118792, 0.00463055, 0.951297
0000159, eth_ch1_IMG_5038_01024, 46.2919, 7.06769, 1347.500000, 1.28429, -0.0366066, 0.0167082, 0.965311
0000160, eth_ch1_IMG_5039_01024, 46.2919, 7.06769, 1347.500000, 1.96766, -0.0315217, 0.00429578, 0.964267
0000161, eth_ch1_IMG_5040_01024, 46.2919, 7.06769, 1347.500000, 2.63691, -0.0912283, -0.0100338, 1.00262
0000162, eth_ch1_IMG_5045_01024, 46.2948, 7.06129, 1299.500000, -2.23424, 0.109679, -1.13402e-08, 0.994838
0000163, eth_ch1_IMG_5046_01024, 46.2949, 7.06059, 1295.000000, -1.49451, 0.141792, -0.000412715, 0.953262
0000164, eth_ch1_IMG_5104_01024, 46.3216, 7.0679, 1883.500000, 1.79473, 0.00901274, 0.0864051, 0.96316
0000165, eth_ch1_IMG_5106_01024, 46.3216, 7.0679, 1883.500000, 3.12088, -0.0345135, 0.0368133, 0.994838
0000166, eth_ch1_IMG_5113_01024, 46.3267, 7.0618, 2097.500000, 2.87162, -0.0925513, 0.0157764, 0.960331
0000167, eth_ch1_IMG_5114_01024, 46.3266, 7.062, 2092.500000, -2.5165, -0.0697967, 5.16925e-08, 0.994838
0000168, eth_ch1_IMG_5117_01024, 46.3266, 7.062, 2092.500000, 2.13416, -0.135415, 0.0334733, 0.958617
0000169, eth_ch1_IMG_5118_01024, 46.3264, 7.0623, 2080.500000, 1.32152, -0.089738, 0.0736317, 0.994838
0000170, eth_ch1_IMG_5125_01024, 46.3262, 7.0625, 2072.000000, 2.73154, -0.108831, -0.0125422, 0.968953
0000171, eth_ch1_IMG_5126_01024, 46.3262, 7.0625, 2072.000000, 2.2464, -0.0816012, 0.0316345, 0.962793
0000172, eth_ch1_IMG_5128_01024, 46.3246, 7.0661, 1990.500000, -2.48428, -0.0421853, -0.024542, 0.994838
0000173, eth_ch1_IMG_5130_01024, 46.3246, 7.0661, 1990.500000, 3.04265, -0.0421853, 0.0122713, 0.994838
0000174, eth_ch1_IMG_5131_01024, 46.3246, 7.0661, 1990.500000, 2.30788, -0.12195, 0.0368136, 0.994838
0000175, eth_ch1_IMG_5133_01024, 46.3246, 7.0661, 1990.500000, 1.33226, -0.0115058, 0.0859027, 0.994838
0000176, eth_ch1_IMG_5143_01024, 46.3217, 7.0672, 1896.500000, 1.90612, -0.0211829, 0.0655463, 0.950236
0000177, eth_ch1_IMG_5145_01024, 46.3217, 7.0674, 1893.000000, 3.0135, -0.12195, 0.0245425, 0.958571
0000178, eth_ch1_IMG_5153_01024, 46.3209, 7.0836, 1968.500000, -2.09158, 0.0145739, 0.012271, 0.994838
0000179, eth_ch1_IMG_5156_01024, 46.3209, 7.0836, 1968.500000, -0.491641, -0.0866703, 0.0122711, 0.994838
0000180, eth_ch1_IMG_5159_01024, 46.3209, 7.0836, 1968.500000, 1.20034, -0.0575264, 0.0122705, 0.994838
0000181, eth_ch1_IMG_5178_01024, 46.3316, 7.0684, 2003.000000, 2.11236, -0.180827, 0.0525097, 0.962483
0000182, eth_ch1_IMG_5180_01024, 46.3316, 7.0684, 2003.000000, 2.66069, -0.207853, 0.0245424, 0.994838
0000183, eth_ch1_IMG_5181_01024, 46.3316, 7.0684, 2003.000000, 2.06244, -0.295291, 0.0245432, 0.994838
0000184, eth_ch1_IMG_5187_01024, 46.2953, 7.1038, 1754.500000, -0.0207743, -0.0254422, 0.0106673, 0.958222
0000185, eth_ch1_IMG_5195_01024, 46.2959, 7.09189, 1508.000000, -0.451755, -0.0483209, 0.0490844, 0.994838
0000186, eth_ch1_IMG_5199_01024, 46.3075, 7.0754, 1610.500000, 2.18764, 0.0205706, -0.0234309, 0.969538
0000187, eth_ch1_IMG_5200_01024, 46.3075, 7.0754, 1610.500000, -2.7558, 0.0667275, 0.0122709, 0.994838
0000188, eth_ch1_IMG_5234_01024, 46.2896, 7.1028, 1545.000000, 1.16204, -0.0679682, 0.0128811, 0.958029
0000189, eth_ch1_IMG_5238_01024, 46.2894, 7.10331, 1543.000000, 0.603621, -0.158767, 0.0368125, 0.994838
0000190, eth_ch1_IMG_5239_01024, 46.2893, 7.1033, 1541.500000, 1.5533, -0.0762487, 0.000494566, 0.966311
0000191, eth_ch1_IMG_5241_01024, 46.2885, 7.10332, 1536.000000, -3.06837, 0.0572432, 0.0249672, 0.972648
0000192, eth_ch1_IMG_5242_01024, 46.2883, 7.1041, 1541.000000, 3.03651, 0.062125, -0.0122709, 0.994838
0000193, eth_ch1_IMG_5255_01024, 46.2879, 7.1061, 1547.500000, 1.50713, -0.0329815, 0.02454, 0.994838
0000194, eth_ch1_IMG_5268_01024, 46.2881, 7.10179, 1517.000000, 1.17273, -0.0176403, 0.0122706, 0.994838
0000195, eth_ch1_rapperswildsc00198_01024, 47.225, 8.81, 404.000000, 2.95932, 0.032535, 0.0298906, 0.34395
0000196, eth_ch1_stmoritzDSC00551_01024, 46.499, 9.829, 2045.500000, 2.14374, -0.0084387, 6.75206e-07, 0.881914
0000197, eth_ch1_stmoritzDSC00554_01024, 46.499, 9.829, 2045.500000, 3.11935, -0.0912725, -0.0122708, 0.881914
0000198, finsteraarhorn01, 46.5373, 8.12605, 4248.000000, -2.44183, -0.0657988, 0.0321644, 0.210615
0000199, finsteraarhorn02, 46.5373, 8.12605, 4248.000000, 1.13934, -0.0579056, -0.0263563, 0.270635
0000200, finsteraarhorn03, 46.5373, 8.12605, 4248.000000, 1.10272, -0.0942485, -0.0180039, 0.637194
0000201, finsteraarhorn04, 46.5373, 8.12605, 4248.000000, -2.76848, -0.0852311, -0.0272202, 0.637098
0000202, finsteraarhorn05, 46.5373, 8.12607, 4247.000000, -2.53198, -0.081253, -0.0396724, 0.643586
0000203, finsteraarhorn06, 46.5373, 8.12605, 4248.000000, -2.27486, -0.0769784, -0.0200474, 0.641953
0000204, flickr_12803431643_6da9beac9b_7328_52724211@N02_grid_1_0.004_0.004.xml_0_1_1.17601, 46.92196274, 9.14249897, 1722.500000, 2.61544, 0.0628945, 4.85889e-07, 1.17601
0000205, flickr_1637436219_d912602638_2282_84835246@N00_grid_1_0.004_0.004.xml_1_0_1.17601, 47.58917618, 10.29175949, 1064.000000, 0.673419, -0.14266, -2.89052e-07, 1.17601
0000206, flickr_2083964014_49ba3bfe52_2343_21428225@N00, 47.2167, 10.7111, 773.500000, 0.360485, 0.0966413, 0.0368131, 0.483506
0000207, flickr_3207943144_1d2d41a130_3499_17233842@N00, 47.4811, 11.477, 1397.500000, -0.722503, -0.0506206, 1.81218e-07, 1.02478
0000208, flickr_4389386083_6c95c8d006_2744_46538635@N03, 47.1674, 10.604, 923.000000, -0.682623, 0.431048, -0.049083, 0.43217
0000209, flickr_4865957863_7bae3cba1e_4096_54738725@N00, 46.5381, 11.7825, 2005.500000, 0.796136, 0.18868, 0.0122715, 1.21109
0000210, flickr_4928937186_358093df3d_4101_15887936@N00, 47.7884, 15.9017, 597.000000, 0.391165, 0.148794, -0.0245421, 1.17601
